"@timestamp","@timestamp","_id",bytes,clientip,"geoip.country_code3",httpversion,request,response,"useragent.device","useragent.name","useragent.os",verb,"useragent.os_name"
"Jun 20, 2020 @ 14:45:20.000","Jun 20, 2020 @ 14:45:20.000",DVbk1HIBxLQmqGLLs2PB,126,"127.0.0.1",,"1.0","*",200,Other,Other,Debian,OPTIONS,Debian
"Jun 20, 2020 @ 14:45:19.000","Jun 20, 2020 @ 14:45:19.000",DFbk1HIBxLQmqGLLs2PB,126,"127.0.0.1",,"1.0","*",200,Other,Other,Debian,OPTIONS,Debian
"Jun 20, 2020 @ 14:45:18.000","Jun 20, 2020 @ 14:45:18.000",C1bk1HIBxLQmqGLLs2PB,126,"127.0.0.1",,"1.0","*",200,Other,Other,Debian,OPTIONS,Debian
"Jun 20, 2020 @ 14:45:17.000","Jun 20, 2020 @ 14:45:17.000",Clbk1HIBxLQmqGLLs2PB,126,"127.0.0.1",,"1.0","*",200,Other,Other,Debian,OPTIONS,Debian
"Jun 20, 2020 @ 14:45:16.000","Jun 20, 2020 @ 14:45:16.000",CVbk1HIBxLQmqGLLs2PB,126,"127.0.0.1",,"1.0","*",200,Other,Other,Debian,OPTIONS,Debian
"Jun 20, 2020 @ 14:45:15.000","Jun 20, 2020 @ 14:45:15.000",CFbk1HIBxLQmqGLLs2PB,126,"127.0.0.1",,"1.0","*",200,Other,Other,Debian,OPTIONS,Debian
"Jun 20, 2020 @ 14:45:14.000","Jun 20, 2020 @ 14:45:14.000",B1bk1HIBxLQmqGLLs2PB,126,"127.0.0.1",,"1.0","*",200,Other,Other,Debian,OPTIONS,Debian
"Jun 20, 2020 @ 14:45:13.000","Jun 20, 2020 @ 14:45:13.000",Blbk1HIBxLQmqGLLs2PB,126,"127.0.0.1",,"1.0","*",200,Other,Other,Debian,OPTIONS,Debian
"Jun 20, 2020 @ 14:45:12.000","Jun 20, 2020 @ 14:45:12.000",BVbk1HIBxLQmqGLLs2PB,126,"127.0.0.1",,"1.0","*",200,Other,Other,Debian,OPTIONS,Debian
"Jun 20, 2020 @ 14:45:11.000","Jun 20, 2020 @ 14:45:11.000",BFbk1HIBxLQmqGLLs2PB,126,"127.0.0.1",,"1.0","*",200,Other,Other,Debian,OPTIONS,Debian
"Jun 20, 2020 @ 14:45:10.000","Jun 20, 2020 @ 14:45:10.000",A1bk1HIBxLQmqGLLs2PB,126,"127.0.0.1",,"1.0","*",200,Other,Other,Debian,OPTIONS,Debian
"Jun 20, 2020 @ 14:45:09.000","Jun 20, 2020 @ 14:45:09.000",Albk1HIBxLQmqGLLs2PB,126,"127.0.0.1",,"1.0","*",200,Other,Other,Debian,OPTIONS,Debian
"Jun 20, 2020 @ 14:45:08.000","Jun 20, 2020 @ 14:45:08.000",AVbk1HIBxLQmqGLLs2PB,126,"127.0.0.1",,"1.0","*",200,Other,Other,Debian,OPTIONS,Debian
"Jun 20, 2020 @ 14:45:07.000","Jun 20, 2020 @ 14:45:07.000",AFbk1HIBxLQmqGLLs2PB,126,"127.0.0.1",,"1.0","*",200,Other,Other,Debian,OPTIONS,Debian
"Jun 20, 2020 @ 14:45:06.000","Jun 20, 2020 @ 14:45:06.000","_1bk1HIBxLQmqGLLs2LB",126,"127.0.0.1",,"1.0","*",200,Other,Other,Debian,OPTIONS,Debian
"Jun 20, 2020 @ 14:45:05.000","Jun 20, 2020 @ 14:45:05.000","_lbk1HIBxLQmqGLLs2LB",126,"127.0.0.1",,"1.0","*",200,Other,Other,Debian,OPTIONS,Debian
"Jun 20, 2020 @ 14:45:04.000","Jun 20, 2020 @ 14:45:04.000","_Vbk1HIBxLQmqGLLs2LB",126,"127.0.0.1",,"1.0","*",200,Other,Other,Debian,OPTIONS,Debian
"Jun 20, 2020 @ 14:45:03.000","Jun 20, 2020 @ 14:45:03.000","-Vbk1HIBxLQmqGLLs2LB","99,285","103.224.146.167",IN,"1.1","/wp-content/themes/amphibious/webfonts/fa-solid-900.woff",200,Other,Chrome,Linux,GET,Linux
"Jun 20, 2020 @ 14:45:03.000","Jun 20, 2020 @ 14:45:03.000","-lbk1HIBxLQmqGLLs2LB","194,069","103.224.146.167",IN,"1.1","/wp-content/themes/amphibious/webfonts/fa-solid-900.ttf",200,Other,Chrome,Linux,GET,Linux
"Jun 20, 2020 @ 14:45:03.000","Jun 20, 2020 @ 14:45:03.000","-1bk1HIBxLQmqGLLs2LB","1,248","103.224.146.167",IN,"1.1","/wp-content/uploads/2020/06/cropped-untitled-2-1-32x32.png",200,Other,Chrome,Linux,GET,Linux
"Jun 20, 2020 @ 14:45:03.000","Jun 20, 2020 @ 14:45:03.000","_Fbk1HIBxLQmqGLLs2LB",126,"127.0.0.1",,"1.0","*",200,Other,Other,Debian,OPTIONS,Debian
"Jun 20, 2020 @ 14:45:02.000","Jun 20, 2020 @ 14:45:02.000",6Vbk1HIBxLQmqGLLs2LB,"4,768","103.224.146.167",IN,"1.1","/",200,Other,Chrome,Linux,GET,Linux
"Jun 20, 2020 @ 14:45:02.000","Jun 20, 2020 @ 14:45:02.000",6lbk1HIBxLQmqGLLs2LB,126,"127.0.0.1",,"1.0","*",200,Other,Other,Debian,OPTIONS,Debian
"Jun 20, 2020 @ 14:45:02.000","Jun 20, 2020 @ 14:45:02.000",61bk1HIBxLQmqGLLs2LB,"15,938","103.224.146.167",IN,"1.1","/wp-content/themes/amphibious/style.css?ver=5.4.2",200,Other,Chrome,Linux,GET,Linux
"Jun 20, 2020 @ 14:45:02.000","Jun 20, 2020 @ 14:45:02.000",7Fbk1HIBxLQmqGLLs2LB,"4,366","103.224.146.167",IN,"1.1","/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1",200,Other,Chrome,Linux,GET,Linux
"Jun 20, 2020 @ 14:45:02.000","Jun 20, 2020 @ 14:45:02.000",7Vbk1HIBxLQmqGLLs2LB,"8,405","103.224.146.167",IN,"1.1","/wp-content/themes/amphibious/css/bootstrap-grid.css?ver=5.4.2",200,Other,Chrome,Linux,GET,Linux
"Jun 20, 2020 @ 14:45:02.000","Jun 20, 2020 @ 14:45:02.000",7lbk1HIBxLQmqGLLs2LB,"7,980","103.224.146.167",IN,"1.1","/wp-includes/css/dist/block-library/style.min.css?ver=5.4.2",200,Other,Chrome,Linux,GET,Linux
"Jun 20, 2020 @ 14:45:02.000","Jun 20, 2020 @ 14:45:02.000",71bk1HIBxLQmqGLLs2LB,"13,249","103.224.146.167",IN,"1.1","/wp-content/themes/amphibious/css/fontawesome-all.css?ver=5.4.2",200,Other,Chrome,Linux,GET,Linux
"Jun 20, 2020 @ 14:45:02.000","Jun 20, 2020 @ 14:45:02.000",8Fbk1HIBxLQmqGLLs2LB,"34,130","103.224.146.167",IN,"1.1","/wp-includes/js/jquery/jquery.js?ver=1.12.4-wp",200,Other,Chrome,Linux,GET,Linux
"Jun 20, 2020 @ 14:45:02.000","Jun 20, 2020 @ 14:45:02.000",8Vbk1HIBxLQmqGLLs2LB,"3,321","103.224.146.167",IN,"1.1","/wp-content/themes/amphibious/js/enquire.js?ver=2.1.6",200,Other,Chrome,Linux,GET,Linux
"Jun 20, 2020 @ 14:45:02.000","Jun 20, 2020 @ 14:45:02.000",8lbk1HIBxLQmqGLLs2LB,"1,692","103.224.146.167",IN,"1.1","/wp-content/themes/amphibious/js/fitvids.js?ver=1.1",200,Other,Chrome,Linux,GET,Linux
"Jun 20, 2020 @ 14:45:02.000","Jun 20, 2020 @ 14:45:02.000",81bk1HIBxLQmqGLLs2LB,"1,965","103.224.146.167",IN,"1.1","/wp-content/themes/amphibious/js/hover-intent.js?ver=r7",200,Other,Chrome,Linux,GET,Linux
"Jun 20, 2020 @ 14:45:02.000","Jun 20, 2020 @ 14:45:02.000",9Fbk1HIBxLQmqGLLs2LB,"2,796","103.224.146.167",IN,"1.1","/wp-content/themes/amphibious/js/superfish.js?ver=1.7.10",200,Other,Chrome,Linux,GET,Linux
"Jun 20, 2020 @ 14:45:02.000","Jun 20, 2020 @ 14:45:02.000",9Vbk1HIBxLQmqGLLs2LB,"2,600","103.224.146.167",IN,"1.1","/wp-content/themes/amphibious/js/custom.js?ver=1.0",200,Other,Chrome,Linux,GET,Linux
"Jun 20, 2020 @ 14:45:02.000","Jun 20, 2020 @ 14:45:02.000",9lbk1HIBxLQmqGLLs2LB,"1,119","103.224.146.167",IN,"1.1","/wp-includes/js/wp-embed.min.js?ver=5.4.2",200,Other,Chrome,Linux,GET,Linux
"Jun 20, 2020 @ 14:45:02.000","Jun 20, 2020 @ 14:45:02.000",91bk1HIBxLQmqGLLs2LB,"5,004","103.224.146.167",IN,"1.1","/wp-includes/js/wp-emoji-release.min.js?ver=5.4.2",200,Other,Chrome,Linux,GET,Linux
"Jun 20, 2020 @ 14:45:02.000","Jun 20, 2020 @ 14:45:02.000","-Fbk1HIBxLQmqGLLs2LB","76,374","103.224.146.167",IN,"1.1","/wp-content/themes/amphibious/webfonts/fa-solid-900.woff2",200,Other,Chrome,Linux,GET,Linux
"Jun 20, 2020 @ 14:45:01.000","Jun 20, 2020 @ 14:45:01.000",6Fbk1HIBxLQmqGLLs2LB,126,"127.0.0.1",,"1.0","*",200,Other,Other,Debian,OPTIONS,Debian
"Jun 20, 2020 @ 14:45:00.000","Jun 20, 2020 @ 14:45:00.000",51bk1HIBxLQmqGLLs2LB,126,"127.0.0.1",,"1.0","*",200,Other,Other,Debian,OPTIONS,Debian
"Jun 20, 2020 @ 14:44:59.000","Jun 20, 2020 @ 14:44:59.000",5lbk1HIBxLQmqGLLs2LB,126,"127.0.0.1",,"1.0","*",200,Other,Other,Debian,OPTIONS,Debian
"Jun 20, 2020 @ 14:44:58.000","Jun 20, 2020 @ 14:44:58.000",5Vbk1HIBxLQmqGLLs2LB,126,"127.0.0.1",,"1.0","*",200,Other,Other,Debian,OPTIONS,Debian
"Jun 20, 2020 @ 14:44:57.000","Jun 20, 2020 @ 14:44:57.000",5Fbk1HIBxLQmqGLLsmIM,126,"127.0.0.1",,"1.0","*",200,Other,Other,Debian,OPTIONS,Debian
